bodyId,type,instance,class,somaSide
83835,KCab-m,KCab-m_R,Kenyon_Cell,R
83894,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
83914,KCab-c,KCab-c_L,Kenyon_Cell,L
83921,KCg-m,KCg-m_R,Kenyon_Cell,R
83924,KCab-p,KCab-p_R,Kenyon_Cell,R
83961,KCab-s,KCab-s_R,Kenyon_Cell,R
83965,KCg-m,KCg-m_L,Kenyon_Cell,L
83978,KCab-s,KCab-s_L,Kenyon_Cell,L
83989,KCab-s,KCab-s_L,Kenyon_Cell,L
84007,KCg-m,KCg-m_R,Kenyon_Cell,R
84011,KCg-d,KCg-d_R,Kenyon_Cell,R
84037,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
84131,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
84137,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
84241,KCab-c,KCab-c_L,Kenyon_Cell,L
84244,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
84247,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
84278,KCab-s,KCab-s_R,Kenyon_Cell,R
